onset	duration	nwb_table	spatial_frequency	temporal_frequency	direction
436.0	60.0	epochs	0.04	2.0	0.0
526.0	60.0	epochs	0.04	1.0	270.0
617.0	60.0	epochs	0.04	1.0	90.0
707.0	60.0	epochs	0.04	2.0	0.0
798.0	60.0	epochs	0.04	2.0	180.0
889.0	59.0	epochs	0.04	2.0	135.0
979.0	60.0	epochs	0.04	1.0	90.0
1070.0	59.0	epochs	0.04	2.0	180.0
1160.0	60.0	epochs	0.04	1.0	45.0
1251.0	59.0	epochs	0.04	1.0	180.0
1341.0	60.0	epochs	0.04	1.0	90.0
1432.0	59.0	epochs	0.04	1.0	90.0
1522.0	60.0	epochs	0.04	2.0	225.0
1613.0	60.0	epochs	0.04	2.0	135.0
1703.0	60.0	epochs			
1794.0	60.0	epochs			
1884.0	60.0	epochs	0.04	1.0	45.0
1975.0	60.0	epochs	0.04	1.0	225.0
2065.0	60.0	epochs	0.04	1.0	270.0
2156.0	60.0	epochs	0.04	1.0	0.0
2246.0	60.0	epochs	0.04	1.0	45.0
2337.0	60.0	epochs	0.04	2.0	315.0
2427.0	60.0	epochs	0.04	1.0	315.0
2518.0	60.0	epochs			
2608.0	60.0	epochs	0.04	2.0	135.0
2699.0	60.0	epochs	0.04	2.0	180.0
2789.0	60.0	epochs	0.04	2.0	225.0
2880.0	60.0	epochs	0.04	1.0	225.0
2970.0	60.0	epochs	0.04	1.0	225.0
3061.0	60.0	epochs	0.04	2.0	270.0
3152.0	59.0	epochs	0.04	1.0	225.0
3242.0	60.0	epochs	0.04	2.0	135.0
3333.0	59.0	epochs	0.04	1.0	315.0
3423.0	60.0	epochs	0.04	1.0	270.0
3514.0	59.0	epochs	0.04	1.0	315.0
3604.0	60.0	epochs	0.04	2.0	135.0
3695.0	59.0	epochs	0.04	2.0	45.0
3785.0	60.0	epochs	0.04	2.0	135.0
3876.0	60.0	epochs	0.04	2.0	90.0
3966.0	60.0	epochs	0.04	2.0	45.0
4057.0	60.0	epochs	0.04	1.0	45.0
4147.0	60.0	epochs	0.04	1.0	225.0
4238.0	60.0	epochs	0.04	1.0	270.0
4328.0	60.0	epochs	0.04	2.0	180.0
4419.0	60.0	epochs	0.04	1.0	0.0
4509.0	60.0	epochs	0.04	2.0	45.0
4600.0	60.0	epochs	0.04	2.0	135.0
4690.0	60.0	epochs	0.04	1.0	0.0
4781.0	60.0	epochs	0.04	1.0	180.0
4871.0	60.0	epochs	0.04	2.0	315.0
4962.0	60.0	epochs	0.04	2.0	315.0
5052.0	60.0	epochs			
