onset	duration	nwb_table	spatial_frequency	temporal_frequency	direction
445.0	60.0	epochs	0.04	1.0	135.0
536.0	59.0	epochs			
626.0	60.0	epochs	0.04	2.0	270.0
716.0	60.0	epochs	0.04	1.0	180.0
807.0	59.0	epochs	0.04	1.0	180.0
897.0	60.0	epochs	0.04	1.0	0.0
987.0	60.0	epochs	0.04	2.0	180.0
1078.0	59.0	epochs	0.04	1.0	90.0
1168.0	60.0	epochs	0.04	2.0	0.0
1258.0	60.0	epochs	0.04	1.0	180.0
1349.0	59.0	epochs			
1439.0	60.0	epochs	0.04	1.0	0.0
1529.0	60.0	epochs	0.04	2.0	225.0
1619.0	60.0	epochs	0.04	1.0	0.0
1710.0	59.0	epochs	0.04	2.0	0.0
1800.0	60.0	epochs	0.04	2.0	90.0
1890.0	60.0	epochs	0.04	1.0	270.0
1981.0	59.0	epochs	0.04	1.0	90.0
2071.0	60.0	epochs	0.04	1.0	225.0
2161.0	60.0	epochs	0.04	2.0	135.0
2252.0	59.0	epochs	0.04	1.0	90.0
2342.0	60.0	epochs	0.04	2.0	180.0
2432.0	60.0	epochs	0.04	1.0	315.0
2522.0	60.0	epochs	0.04	2.0	315.0
2613.0	60.0	epochs	0.04	2.0	0.0
2703.0	60.0	epochs	0.04	2.0	90.0
2793.0	60.0	epochs	0.04	2.0	180.0
2884.0	59.0	epochs	0.04	1.0	0.0
2974.0	60.0	epochs	0.04	1.0	180.0
3064.0	60.0	epochs	0.04	2.0	315.0
3155.0	59.0	epochs	0.04	2.0	90.0
3245.0	60.0	epochs	0.04	1.0	45.0
3335.0	60.0	epochs			
3426.0	59.0	epochs	0.04	1.0	180.0
3516.0	60.0	epochs	0.04	2.0	45.0
3606.0	60.0	epochs	0.04	1.0	180.0
3696.0	60.0	epochs	0.04	2.0	225.0
3787.0	59.0	epochs	0.04	1.0	225.0
3877.0	60.0	epochs	0.04	2.0	0.0
3967.0	60.0	epochs	0.04	1.0	270.0
4058.0	59.0	epochs	0.04	2.0	225.0
4148.0	60.0	epochs	0.04	2.0	135.0
4238.0	60.0	epochs	0.04	1.0	0.0
4329.0	59.0	epochs	0.04	1.0	270.0
4419.0	60.0	epochs	0.04	2.0	0.0
4509.0	60.0	epochs	0.04	1.0	180.0
4600.0	59.0	epochs	0.04	2.0	90.0
4690.0	60.0	epochs	0.04	2.0	45.0
4780.0	60.0	epochs	0.04	2.0	0.0
4870.0	60.0	epochs	0.04	2.0	270.0
4961.0	59.0	epochs	0.04	1.0	180.0
5051.0	60.0	epochs	0.04	1.0	180.0
5141.0	60.0	epochs			
5232.0	59.0	epochs	0.04	2.0	90.0
5322.0	60.0	epochs			
5412.0	60.0	epochs	0.04	1.0	270.0
5503.0	59.0	epochs	0.04	2.0	270.0
